None,None,None,ShipSpecial_SupplyCrate,1,0.8
None,None,None,ShipSpecial_WreckInterior_Obsolete,1,0.6
None,None,None,MushroomForest_RockWall,1,0.6
None,None,None,Mountains_IslandCaveCeiling,1,0.7
None,None,None,Mountains_IslandSand,1,0.95
None,None,None,Mountains_IslandGrass,1,0.7
None,None,None,JellyshroomCaves_Geyser,1,0.9
None,None,None,Kelp_VineBase,1,0.3
None,None,None,Dunes_CaveFloor,1,0.45
None,None,None,Mountains_IslandCaveWall,1,0.95
None,None,None,Mountains_IslandCaveFloor,1,0.9
None,None,None,Mountains_IslandRock,1,0.95
None,None,None,SafeShallows_OpenShallow_CreatureOnly,1,0.8
None,None,None,Kelp_DenseVine,1,0.2
None,None,None,Kelp_UniqueCreature,1,0.2
None,None,None,BloodKelp_WreckCreatures,1,0.8
None,None,None,JellyShroomCaves_CrabSnake,1,0.6
None,None,None,FloatingIslands_Birds,1,0.7
None,None,None,ShipSpecial_Birds,1,0.5
None,None,None,ShipSpecial_RoostBirds,1,0.5
None,None,None,UnderwaterIslands_ValleyFloor,1,0.5
None,None,None,BloodKelp_TrenchFloor,1,0.5
None,None,None,BloodKelp_TrenchWall,1,0.4
None,None,None,BloodKelp_Grass,1,0.25
None,None,None,BloodKelp_UniqueCreatures,1,0.85
None,None,None,GrassyPlateaus_TechSite,1,0.8
None,None,None,GrassyPlateaus_TechSite_Barrier,1,0.45
None,None,None,GrassyPlateaus_TechSite_Scattered,1,0.4
None,None,None,SafeShallows_TechSite_Scattered,1,0.5
None,None,None,UnderwaterIslands_ValleyWall,1,1
947f2823-c42a-45ef-94e4-52a9f1d3459c,WorldEntities/Natural/metal1.prefab,ScrapMetal,SafeShallows_SandFlat,1,0.1
947f2823-c42a-45ef-94e4-52a9f1d3459c,WorldEntities/Natural/metal1.prefab,ScrapMetal,CrashZone_Sand,1,0.2
947f2823-c42a-45ef-94e4-52a9f1d3459c,WorldEntities/Natural/metal1.prefab,ScrapMetal,CrashZone_TrenchSand,1,0.2
947f2823-c42a-45ef-94e4-52a9f1d3459c,WorldEntities/Natural/metal1.prefab,ScrapMetal,Kelp_Sand,1,0.15
947f2823-c42a-45ef-94e4-52a9f1d3459c,WorldEntities/Natural/metal1.prefab,ScrapMetal,Dunes_SandDune,1,0.06
947f2823-c42a-45ef-94e4-52a9f1d3459c,WorldEntities/Natural/metal1.prefab,ScrapMetal,GrassyPlateaus_TechSite_Scattered,1,0.075
947f2823-c42a-45ef-94e4-52a9f1d3459c,WorldEntities/Natural/metal1.prefab,ScrapMetal,CragField_Sand,1,0.1
947f2823-c42a-45ef-94e4-52a9f1d3459c,WorldEntities/Natural/metal1.prefab,ScrapMetal,KooshZone_Grass,1,0.1
